Datetime,Close,High,Low,Open,Volume
2026-04-06 09:15:00+00:00,5091.5,5095.0,5090.5,5090.5,1536
2026-04-06 09:20:00+00:00,5091.0,5097.0,5089.5,5091.5,2277
2026-04-06 09:25:00+00:00,5089.5,5092.5,5084.5,5091.0,2474
2026-04-06 09:30:00+00:00,5101.0,5102.0,5088.5,5088.5,5971
2026-04-06 09:35:00+00:00,5105.0,5109.5,5097.5,5102.5,3642
2026-04-06 09:40:00+00:00,5109.0,5115.0,5104.0,5106.0,5840
2026-04-06 09:45:00+00:00,5104.5,5110.5,5099.0,5109.0,7698
2026-04-06 09:50:00+00:00,5104.0,5108.0,5101.0,5104.0,6412
2026-04-06 09:55:00+00:00,5105.0,5108.0,5102.0,5103.5,6627
2026-04-07 03:45:00+00:00,4947.0,5059.5,4941.0,5059.5,0
2026-04-07 03:50:00+00:00,4967.0,4970.0,4943.0,4946.5,12375
2026-04-07 03:55:00+00:00,4982.0,4984.0,4964.0,4964.0,19133
2026-04-07 04:00:00+00:00,4971.5,4982.0,4970.0,4981.5,11393
2026-04-07 04:05:00+00:00,4970.5,4983.0,4966.0,4970.5,9359
2026-04-07 04:10:00+00:00,4987.0,4993.0,4975.0,4978.5,9110
2026-04-07 04:15:00+00:00,4984.0,4995.5,4981.5,4985.5,8903
2026-04-07 04:20:00+00:00,4972.0,4984.5,4972.0,4982.5,5379
2026-04-07 04:25:00+00:00,4982.5,4985.0,4972.0,4972.0,3901
2026-04-07 04:30:00+00:00,4994.0,5002.5,4980.5,4983.5,15701
2026-04-07 04:35:00+00:00,4980.0,4997.0,4980.0,4994.0,6109
2026-04-07 04:40:00+00:00,4994.5,4994.5,4973.0,4979.5,6858
2026-04-07 04:45:00+00:00,5009.0,5012.5,4993.0,4993.5,8474
2026-04-07 04:50:00+00:00,5004.0,5016.0,5000.0,5004.5,8731
2026-04-07 04:55:00+00:00,5012.5,5019.0,5004.0,5004.0,5603
2026-04-07 05:00:00+00:00,5020.5,5029.0,5008.0,5012.0,7270
2026-04-07 05:05:00+00:00,5022.5,5022.5,5004.0,5018.0,4896
2026-04-07 05:10:00+00:00,5020.0,5029.5,5018.5,5022.0,4404
2026-04-07 05:15:00+00:00,5012.0,5027.0,5011.5,5018.5,4363
